iter	Passed	Remaining
0	0	747
1	2	1002
2	2	879
3	3	758
4	3	695
5	3	656
6	4	634
7	5	642
8	5	620
9	6	606
10	6	599
11	7	594
12	7	588
13	8	579
14	8	575
15	9	571
16	9	569
17	10	568
18	11	591
19	11	579
20	12	569
21	12	570
22	13	570
23	13	565
24	14	559
25	14	553
26	15	548
27	15	547
28	16	547
29	16	547
30	17	548
31	18	545
32	18	547
33	19	547
34	19	543
35	20	543
36	20	542
37	21	540
38	21	536
39	22	534
40	22	534
41	23	532
42	23	528
43	24	528
44	24	525
45	25	524
46	25	524
47	26	521
48	26	519
49	27	517
50	27	516
51	28	512
52	28	510
53	29	511
54	30	520
55	30	522
56	31	521
57	32	521
58	32	520
59	33	518
60	33	517
61	34	516
62	34	515
63	35	515
64	35	513
65	36	512
66	36	511
67	37	509
68	37	508
69	38	505
70	38	504
71	39	505
72	39	505
73	40	504
74	40	504
75	41	504
76	41	503
77	42	502
78	42	501
79	43	500
80	44	500
81	44	498
82	44	497
83	45	495
84	45	493
85	46	493
86	47	493
87	47	493
88	47	490
89	48	489
90	48	489
91	49	488
92	50	487
93	50	486
94	50	485
95	51	484
96	51	482
97	52	480
98	52	480
99	53	479
100	53	479
101	54	478
102	54	477
103	55	476
104	55	473
105	56	473
106	56	472
107	57	471
108	57	470
109	58	470
110	58	469
111	59	469
112	59	468
113	60	466
114	60	465
115	60	464
116	61	464
117	62	463
118	62	463
119	63	463
120	63	462
121	64	462
122	64	461
123	65	459
124	65	459
125	66	458
126	66	457
127	66	456
128	67	455
129	67	454
130	68	453
131	68	453
132	69	452
133	70	452
134	70	451
135	70	450
136	71	450
137	71	449
138	72	448
139	73	451
140	74	451
141	74	450
142	75	450
143	75	449
144	76	448
145	76	445
146	76	444
147	77	444
148	77	442
149	78	442
150	78	442
151	79	442
152	79	441
153	80	441
154	80	440
155	81	439
156	81	439
157	82	437
158	82	437
159	83	436
160	83	436
161	84	435
162	84	434
163	85	434
164	85	433
165	86	432
166	86	432
167	87	431
168	87	430
169	87	429
170	88	428
171	88	427
172	88	425
173	89	424
174	89	423
175	90	423
176	91	423
177	91	422
178	92	421
179	92	421
180	92	420
181	93	419
182	93	418
183	94	417
184	94	417
185	95	416
186	95	416
187	96	415
188	96	415
189	97	414
190	97	413
191	98	412
192	98	412
193	99	411
194	99	411
195	99	409
196	100	409
197	101	409
198	101	408
199	101	407
200	102	407
201	102	406
202	103	405
203	103	405
204	104	404
205	104	403
206	105	403
207	105	402
208	106	402
209	106	402
210	107	401
211	107	400
212	108	399
213	108	398
214	109	398
215	109	397
216	109	396
217	110	395
218	110	394
219	110	393
220	111	392
221	111	392
222	112	391
223	112	390
224	113	390
225	113	389
226	114	388
227	114	388
228	114	387
229	115	386
230	115	385
231	116	385
232	116	384
233	117	384
234	117	383
235	118	383
236	118	382
237	119	382
238	119	381
239	120	381
240	120	380
241	121	379
242	121	379
243	122	378
244	122	378
245	123	377
246	123	376
247	124	376
248	124	376
249	125	375
250	125	374
251	126	374
252	126	373
253	127	373
254	127	372
255	127	371
256	128	370
257	128	370
258	129	369
259	129	369
260	130	368
261	130	368
262	131	367
263	131	366
264	131	366
265	132	365
266	132	364
267	133	364
268	133	363
269	134	363
270	134	362
271	135	361
272	135	361
273	136	360
274	136	360
275	137	359
276	137	359
277	137	358
278	138	357
279	138	357
280	139	356
281	139	356
282	140	355
283	141	355
284	141	354
285	141	354
286	142	353
287	142	353
288	143	352
289	143	352
290	144	351
291	144	350
292	145	350
293	145	349
294	146	349
295	146	348
296	146	347
297	147	346
298	147	345
299	148	345
300	148	345
301	149	344
302	149	344
303	150	343
304	150	343
305	151	343
306	151	342
307	152	341
308	152	341
309	153	341
310	153	340
311	154	340
312	154	339
313	154	338
314	155	337
315	155	337
316	156	337
317	156	336
318	157	336
319	157	335
320	158	334
321	158	334
322	159	333
323	159	333
324	160	332
325	160	332
326	161	331
327	161	330
328	161	330
329	162	329
330	162	329
331	163	328
332	163	328
333	164	327
334	164	327
335	165	326
336	165	326
337	166	325
338	166	325
339	167	325
340	167	324
341	168	323
342	168	323
343	169	323
344	169	322
345	170	322
346	170	321
347	171	321
348	171	320
349	172	319
350	172	319
351	173	318
352	173	318
353	173	317
354	174	316
355	174	316
356	175	315
357	175	315
358	176	314
359	176	313
360	176	313
361	177	312
362	177	311
363	178	311
364	178	310
365	178	309
366	179	309
367	179	308
368	180	308
369	180	307
370	181	306
371	181	306
372	181	305
373	182	305
374	182	304
375	183	304
376	183	303
377	184	303
378	184	302
379	185	301
380	185	301
381	185	300
382	187	301
383	187	300
384	187	300
385	188	299
386	188	299
387	189	298
388	189	298
389	190	297
390	190	296
391	191	296
392	191	295
393	191	295
394	192	294
395	192	294
396	193	293
397	193	292
398	194	292
399	194	291
400	194	291
401	195	290
402	195	289
403	196	289
404	196	288
405	197	288
406	197	287
407	197	287
408	198	286
409	198	285
410	199	285
411	199	284
412	200	284
413	200	283
414	200	283
415	201	282
416	201	281
417	202	281
418	202	280
419	202	280
420	203	279
421	203	278
422	204	278
423	204	277
424	205	277
425	205	276
426	205	276
427	206	275
428	206	275
429	207	274
430	207	273
431	208	273
432	208	272
433	208	272
434	209	272
435	209	271
436	210	270
437	210	270
438	211	269
439	211	269
440	212	268
441	212	268
442	212	267
443	213	267
444	213	266
445	214	266
446	214	265
447	214	264
448	215	264
449	215	263
450	216	263
451	216	262
452	217	262
453	217	261
454	217	261
455	218	260
456	218	260
457	219	259
458	219	258
459	220	258
460	220	257
461	220	257
462	221	256
463	221	256
464	222	255
465	222	255
466	222	254
467	223	253
468	223	253
469	224	252
470	224	252
471	225	251
472	225	251
473	226	250
474	226	250
475	226	249
476	227	249
477	227	248
478	228	248
479	228	247
480	228	246
481	229	246
482	229	245
483	230	245
484	230	244
485	231	244
486	231	243
487	231	243
488	232	242
489	232	242
490	233	241
491	233	241
492	234	240
493	234	240
494	234	239
495	235	239
496	235	238
497	236	238
498	236	237
499	236	236
500	237	236
501	237	235
502	238	235
503	238	234
504	239	234
505	239	233
506	239	233
507	240	232
508	240	232
509	241	231
510	241	231
511	242	230
512	242	230
513	242	229
514	243	229
515	243	228
516	244	228
517	244	227
518	244	227
519	245	226
520	245	226
521	246	225
522	246	224
523	246	224
524	247	223
525	247	223
526	247	222
527	248	222
528	248	221
529	249	221
530	249	220
531	250	220
532	250	219
533	251	219
534	251	218
535	252	218
536	252	217
537	252	217
538	253	216
539	253	216
540	254	215
541	254	215
542	255	214
543	255	214
544	255	213
545	256	213
546	256	212
547	257	212
548	257	211
549	258	211
550	258	210
551	259	210
552	259	209
553	259	209
554	260	208
555	260	208
556	261	207
